simplified,radical,level,frequency,pos,pinyin,meanings,count
红色,纟,2,2146,n,hóng sè,"red (color),revolutionary",1
红薯,纟,7,26326,n,hóng shǔ,sweet potato,1
红眼,纟,7,34758,v,hóng yǎn,"to become infuriated,to see red,envious,jealous,covetous,pink eye (conjunctivitis),red-eye (flight)(photography) red eye",1
宏大,宀,6,19357,a,hóng dà,"great,grand",1
宏观,宀,7,22460,n,hóng guān,"macro-,macroscopic,holistic",1
宏伟,宀,7,13202,a,hóng wěi,"grand,imposing,magnificent",1
洪亮,氵,7,36631,a,hóng liàng,"loud and clear,resonant",1
洪水,氵,6,7906,n,hóng shuǐ,deluge; flood,1
喉咙,口,7,5935,n,hóu lóng,the throat,1
猴,犭,5,6437,g,hóu,monkey,1
猴子,犭,5,5675,n,hóu zi,monkey,1
吼,口,7,3491,v,hǒu,"to roar,to howl,to shriek,roar or howl of an animal,bellow of rage",1
后,口,1,115,f,Hòu,surname Hou,3
后备,口,7,7692,b,hòu bèi,reserve; backup,1
后备箱,口,7,1000000,,hòu bèi xiāng,"trunk,boot (of a car)",1
后边,口,1,14477,f,hòu bian,"the back; the rear; the last bit,behind; near the end; at the back,later; afterwards",1
后代,口,6,8721,n,hòu dài,"descendant,progeny,posterity,later ages,later generations",1
后盾,口,7,18244,n,hòu dùn,"support,backing",1
后顾之忧,口,7,25479,l,hòu gù zhī yōu,fears of trouble in the rear (idiom); family worries (obstructing freedom of action),1
后果,口,5,3157,n,hòu guǒ,"consequences,aftermath",1
后悔,口,4,2667,v,hòu huǐ,to regret; to feel remorse,1
后来,口,3,1055,t,hòu lái,"afterwards; later,newly arrived",1
后面,口,2,1300,f,hòu mian,"the back; the rear; the last bit,behind; near the end; at the back,later; afterwards",1
后年,口,3,45713,t,hòu nián,the year after next,1
后期,口,6,9597,f,hòu qī,"late stage,later period",1
后勤,口,7,12965,n,hòu qín,logistics,1
后人,口,6,14853,n,hòu rén,later generation,1
后台,口,7,7924,n,hòu tái,"backstage area,behind-the-scenes supporter,(computing) back-end,background",1
后天,口,3,9407,n,hòu tiān,"the day after tomorrow,life after birth (the period in which one develops through experiences, contrasted with 天)",1
后头,口,4,16864,f,hòu tou,"behind,the back,the rear,later,afterwards,(in) the future",1
后退,口,6,7469,v,hòu tuì,"to recoil,to draw back,to fall back,to retreat",1
后续,口,7,11030,vn,hòu xù,"follow-up,(dialect) to remarry",1
后遗症,口,7,15852,n,hòu yí zhèng,"(medicine) sequelae,residual effects,(fig.) repercussions,aftermath",1
后裔,口,7,16471,n,hòu yì,descendant,1
后者,口,6,6906,r,hòu zhě,the latter,1
厚,厂,4,3759,a,hòu,"thick,deep or profound,kind,generous,rich or strong in flavor,to favor,to stress",1
厚道,厂,7,14386,a,hòu dao,"kind and honest,generous,sincere",1
厚度,厂,5,17989,n,hòu dù,thickness,1
候选,亻,6,14123,b,hòu xuǎn,candidate (attributive),1
候选人,亻,7,4996,n,hòu xuǎn rén,candidate,1
呼风唤雨,口,7,31838,l,hū fēng huàn yǔ,"to call the wind and summon the rain (idiom); to exercise magical powers,fig. to stir up troubles",1
呼唤,口,7,8997,v,hū huàn,"to call out (a name etc),to shout",1
呼救,口,7,17198,v,hū jiù,to call for help,1
呼声,口,7,14141,n,hū shēng,"a shout,fig. opinion or demand, esp. expressed by a group",1
呼吸,口,5,2003,v,hū xī,to breathe,1
呼啸,口,7,19025,v,hū xiào,to whistle; to scream; to whiz,1
呼吁,口,7,8013,v,hū yù,"to call on (sb to do sth),to appeal (to),an appeal",1
呼应,口,7,28524,v,hū yìng,"to conform (with),to echo,to correlate well,(linguistics) agreement",1
忽略,心,6,4602,v,hū lu:è,to neglect; to overlook; to ignore,1
忽高忽低,心,7,1000000,,hū gāo hū dī,alternately soaring and plunging,1
忽然,心,4,4518,d,hū rán,suddenly; all of a sudden,1
忽视,心,5,5020,v,hū shì,to neglect; to overlook; to disregard; to ignore,1
忽悠,心,7,10450,z,hū you,"to rock,to sway,to flicker (e.g. of lights reflected on water),to flutter (e.g. of a flag),to trick sb into doing sth",1
胡乱,⺼,7,13451,d,hú luàn,"careless,reckless,casually,absent-mindedly,at will,at random,any old how",1
胡闹,⺼,7,14691,v,hú nào,"to act willfully and make a scene,to make trouble",1
胡说,⺼,7,10010,v,hú shuō,"to talk nonsense,drivel",1
胡思乱想,⺼,7,14791,,hú sī luàn xiǎng,"to indulge in flights of fancy (idiom),to let one's imagination run wild",1
胡同,⺼,5,20715,n,hú tòng,"lane,alley",2
胡同儿,⺼,5,165503,,hútòngr5,Alley,1
胡须,⺼,5,17602,n,hú xū,beard,1
胡子,⺼,6,6424,n,hú zi,"beard,mustache or whiskers,facial hair,(coll.) bandit",1
壶,士,6,7796,g,hú,"pot,classifier for bottled liquid",1
湖,氵,5,2468,n,hú,lake,1
湖泊,氵,7,18372,n,hú pō,lake,1
蝴蝶,虫,5,6484,n,hú dié,butterfly,1
虎,虎,5,3310,n,hǔ,tiger,1
互补,二,7,16940,v,hù bǔ,"complementary,to complement each other",1
互动,二,5,7181,vn,hù dòng,"to interact,interactive",1
互访,二,7,48607,v,hù fǎng,exchange visits,1
互联网,二,4,4872,n,Hù lián wǎng,Internet,1
互相,二,4,2091,d,hù xiāng,"each other,mutually,mutual",1
互信,二,7,48128,v,hù xìn,mutual trust,1
互助,二,6,12798,vn,Hù zhù,"Huzhu Tuzu autonomous county in Haidong prefecture 海东地区, Qinghai",2
户,户,6,2265,g,hù,"a household,door,family",1
户外,户,5,7642,s,hù wài,outdoor,1
护,扌,7,2909,v,hù,to protect,1
护理,扌,7,4882,vn,hù lǐ,"to nurse,to tend and protect",1
护士,扌,4,3782,n,hù shi,nurse,1
护照,扌,3,7152,n,hù zhào,passport,1
糊,米,7,9351,v,hú,variant of 糊,4
糊涂,米,7,6397,a,hú tu,"muddled,silly,confused",1
花,艹,2,435,v,Huā,surname Hua,4
花瓣,艹,7,13753,n,huā bàn,petal,1
花费,艹,5,5505,v,huā fèi,"expense,cost,to spend (time or money),expenditure",1
花卉,艹,7,17806,n,huā huì,flowers and plants,1
花瓶,艹,6,11183,n,huā píng,"flower vase,(fig.) female employee considered to be just a pretty face (attractive but not very competent)",1
花生,艹,6,6750,n,huā shēng,"peanut,groundnut",1
