simplified,radical,level,frequency,pos,pinyin,meanings,count
零钱,雨,4,13354,n,líng qián,"change (of money),small change,pocket money",1
零食,雨,4,8964,n,líng shí,"between-meal nibbles,snacks",1
零售,雨,7,9935,vn,líng shòu,"to retail,to sell individually or in small quantities",1
零下,雨,4,14498,s,líng xià,below zero,1
零星,雨,7,21996,a,líng xīng,"fragmentary,random,bits and pieces,sporadic",1
领,页,5,2044,v,lǐng,"neck,collar,to lead,to receive,classifier for clothes, mats, screens etc",1
领带,页,5,9352,n,lǐng dài,necktie,1
领导,页,5,1433,n,lǐng dǎo,"lead,leading,to lead,leadership,leader",1
领队,页,7,11559,n,lǐng duì,"to lead a group,leader of a group,captain (of sports squad)",1
领略,页,7,16941,v,lǐng lu:è,"to have a taste of,to realize,to appreciate",1
领会,页,7,12532,v,lǐng huì,"to understand,to comprehend,to grasp",1
领军,页,7,1000000,,lǐng jūn,"to lead troups,(fig.) to lead,leading",1
领取,页,5,10119,v,lǐng qǔ,to receive; to draw; to get,1
领事,页,7,20219,n,lǐng shì,consul,1
领事馆,页,7,23364,n,lǐng shì guǎn,consulate,1
领土,页,7,8618,n,lǐng tǔ,territory,1
领悟,页,7,12096,v,lǐng wù,"to understand,to comprehend",1
领先,页,5,2791,v,lǐng xiān,"to lead,to be in front",1
领袖,页,7,3957,n,lǐng xiù,leader,1
领养,页,7,10747,v,lǐng yǎng,to adopt (a child); adoption,1
领域,页,5,2459,n,lǐng yù,"domain,sphere,field,territory,area",1
令,人,5,776,v,líng,"used in 令,used in 狐 (Taiwan pr. [lìng])",3
另,口,4,541,r,lìng,"other,another,separate,separately",1
另外,口,4,725,r,lìng wài,"additional,in addition,besides,separate,other,moreover,furthermore",1
另一方面,口,3,4851,c,lìng yī fāng miàn,"on the other hand,another aspect",1
伶俐,亻,6,31514,a,líng lì,"clever,witty,intelligent",1
溜,氵,7,5659,v,liū,"to slip away,to escape in stealth,to skate",2
溜达,氵,7,16564,v,liū da,"to stroll,to go for a walk",1
浏览,氵,5,7707,v,liú lǎn,"to skim over,to browse",1
浏览器,氵,6,28853,n,liú lǎn qì,browser (software),1
流,氵,4,1337,v,liú,"to flow,to disseminate,to circulate or spread,to move or drift,to degenerate,to banish or send into exile",1
流畅,氵,7,9270,a,liú chàng,"flowing (of speech, writing),fluent,smooth and easy",1
流程,氵,6,8987,n,liú chéng,"course,stream,sequence of processes,work flow in manufacturing",1
流传,氵,5,7952,v,liú chuán,"to spread,to circulate,to hand down",1
流动,氵,6,5689,vn,liú dòng,"to flow,to circulate,to go from place to place,to be mobile,(of assets) liquid",1
流感,氵,5,5632,n,liú gǎn,flu; influenza,1
流浪,氵,7,6517,v,liú làng,"to drift about,to wander,to roam,nomadic,homeless,unsettled (e.g. population),vagrant",1
流泪,氵,7,7253,v,liú lèi,to shed tears,1
流利,氵,4,17449,a,liú lì,fluent,1
流量,氵,6,12321,n,liú liàng,"flow rate; throughput of passengers; volume of traffic,(hydrology) discharge",1
流露,氵,7,12368,v,liú lù,"to reveal (indirectly, implicitly),to show (interest, contempt etc) by means of one's actions, tone of voice etc",1
流氓,氵,7,5202,n,liú máng,"rogue,hoodlum,gangster,immoral behavior",1
流入,氵,6,13234,v,liú rù,"to flow into,to drift into,influx,inflow",1
流失,氵,7,11192,vn,liú shī,"(of soil etc) to wash away,to be eroded,(fig.) (of talented staff, followers of a religious faith",1
流水,氵,7,10995,n,liú shuǐ,"running water,(business) turnover",1
流淌,氵,7,12874,v,liú tǎng,to flow,1
流通,氵,6,8541,vn,liú tōng,"to circulate; to distribute,circulation; distribution",1
流向,氵,7,14722,v,liú xiàng,"direction of a current,direction of flow,to flow toward",1
流行,氵,4,2724,v,liú xíng,"(of a contagious disease etc) to spread,to propagate,(of a style of clothing, song etc) popular,fashionable",1
流血,氵,7,6486,v,liú xuè,"to bleed,to shed blood",1
流域,氵,7,20502,n,liú yù,"river basin,valley,drainage area",1
流转,氵,7,20716,vn,liú zhuǎn,"to be on the move,to roam or wander,to circulate (of goods or capital)",1
留,田,4,705,v,liú,old variant of 留,3
留恋,田,7,13649,v,liú liàn,"reluctant to leave,to hate to have to go,to recall fondly",1
留念,田,7,20051,v,liú niàn,"to keep as a souvenir,to recall fondly",1
留神,田,7,16844,v,liú shén,"to take care,to be careful",1
留下,田,4,1196,v,liú xià,"to leave behind,to stay behind,to remain,to keep,not to let (sb) go",1
留心,田,7,13923,v,liú xīn,to be careful; to pay attention to,1
留学,田,3,15630,v,liú xué,to study abroad,1
留学生,田,3,24084,n,liú xué shēng,"student studying abroad,(foreign) exchange student",1
留言,田,5,4582,n,liú yán,"to leave a message,to leave one's comments,message",1
留意,田,7,6127,v,liú yì,"to be mindful,to pay attention to,to take note of",1
遛,辶,7,17781,v,liù,"to stroll,to walk (an animal)",1
柳树,木,7,28007,n,liǔ shù,willow,1
六,八,1,802,m,liù,"six,6",1
龙,龙,5,1547,n,Lóng,surname Long,2
龙舟,龙,7,34927,n,lóng zhōu,"dragon boat,imperial boat",1
笼统,⺮,7,29692,a,lǒng tǒng,"general,broad,sweeping,lacking in detail,vague",1
笼罩,⺮,7,10028,v,lǒng zhào,"to envelop,to shroud",1
笼子,⺮,7,11933,n,lóng zi,"cage,basket,container",1
聋,耳,7,12408,v,lóng,deaf,1
聋人,耳,7,1000000,,lóng rén,"deaf person,hearing-impaired person",1
聋哑,耳,6,30845,vn,lóng yǎ,deaf and dumb,1
隆重,阝,7,7000,a,lóng zhòng,"grand,prosperous,ceremonious,solemn",1
垄断,龙,7,11039,v,lǒng duàn,to monopolize,1
楼,木,2,765,n,Lóu,surname Lou,2
楼道,木,6,22887,n,lóu dào,"corridor,passageway (in storied building)",1
楼房,木,6,13957,n,lóu fáng,a building of two or more stories,1
楼上,木,1,5267,s,lóu shàng,"upstairs,(Internet slang) previous poster in a forum thread",1
楼梯,木,3,5165,n,lóu tī,"stair,staircase",1
楼下,木,1,4135,s,lóu xià,downstairs,1
搂,扌,7,9281,v,lōu,"to draw towards oneself,to gather,to gather up (one's gown, sleeves etc),to grab (money),to extort",2
漏,氵,5,4288,v,lòu,"to leak,to divulge,to leave out by mistake,waterclock or hourglass (old)",1
漏洞,氵,6,7160,n,lòu dòng,"leak,hole,gap,loophole",1
芦花,艹,7,58423,,lú huā,"reed catkin,reed flower",1
炉灶,火,7,39198,n,lú zào,stove,1
炉子,火,7,16127,n,lú zi,"stove,oven,furnace",1
卤味,卤,7,53626,,lǔ wèi,food prepared by stewing in soy sauce and spices,2
鲁莽,鱼,7,19225,a,lǔ mǎng,hot-headed; impulsive; reckless,1
陆地,阝,5,11452,n,lù dì,dry land (as opposed to the sea),1
陆军,阝,7,7538,n,lù jūn,"army,ground forces",1
陆续,阝,5,12648,d,lù xù,"in turn,successively,one after the other,bit by bit",1
录,彐,5,2200,v,lù,to carve wood,3
录取,彐,5,5087,v,lù qǔ,"to accept an applicant (prospective student, employee etc) who passes an entrance exam,to admit (a student)",1
录像,彐,6,3924,n,lù xiàng,"to videotape,to videorecord,video recording",1
录音,彐,5,5402,vn,lù yīn,"to record (sound),sound recording",1
录音机,彐,6,19867,n,lù yīn jī,"(tape) recording machine,tape recorder",1
录制,彐,6,9024,v,lù zhì,to record (video or audio),1
鹿,鹿,7,5364,n,lù,deer,1
路,足,2,409,n,Lù,surname Lu,2
路边,足,3,5880,s,lù biān,curb; roadside; wayside,1
路程,足,6,9950,n,lù chéng,"route,path traveled,distance traveled,course (of development)",1
路灯,足,7,14960,n,lù dēng,"street lamp,street light",1
路段,足,7,14718,n,lù duàn,"stretch of road,section of a highway or railway",1
路过,足,4,4118,v,lù guò,to pass by or through,1
路口,足,3,6184,n,lù kǒu,"crossing,intersection (of roads)",1
路况,足,6,18760,n,lù kuàng,"road condition(s) (e.g. surface, traffic flow etc)",1
路面,足,6,11207,n,lù miàn,road surface,1
路人,足,5,10260,n,lù rén,"passer-by,stranger",1
路上,足,2,1669,s,lù shang,"on the road,on a journey,road surface",1
路途,足,7,15788,n,lù tú,"(lit. and fig.) road,path",1
路线,足,5,2824,n,lù xiàn,"itinerary,route,political line (e.g. right revisionist road)",1
路子,足,7,13393,n,lù zi,"method,way,approach",1
露,雨,6,2700,v,Lù,surname Lu,3
露面,雨,7,9214,v,lòu miàn,"to show one's face,to appear (in public)",1
露天,雨,7,11290,n,lù tiān,"outdoors,al fresco,in the open",1
旅程,方,6,7656,n,lǚ chéng,"journey,trip",1
旅店,方,6,14801,n,lǚ diàn,"inn,small hotel",1
旅馆,方,4,5705,n,lǚ guǎn,hotel,1
旅客,方,4,5815,n,lǚ kè,traveler; tourist,1
旅途,方,6,7530,n,lǚ tú,"journey,trip",1
旅行,方,4,2385,v,lǚ xíng,"to travel,journey; trip",1
旅行社,方,5,11103,n,lǚ xíng shè,travel agency,1
旅游,方,2,2534,vn,lǚ yóu,"trip,journey,tourism,travel,tour,to travel",1
铝,钅,7,8015,n,lǚ,aluminum (chemistry),1
屡,尸,7,16379,d,lǚ,"time and again,repeatedly,frequently",1
屡次,尸,7,23740,d,lǚ cì,"repeatedly,time and again",1
缕,纟,7,13610,q,lǚ,"strand,thread,detailed,in detail,classifier for wisps (of smoke, mist or vapor), strands, locks (of hair)",1
履行,尸,6,4856,v,lǚ xíng,"to fulfill (one's obligations),to carry out (a task),to implement (an agreement),to perform",1
律师,彳,4,1246,n,lǜ shī,lawyer,1
率,玄,6,2786,v,lǜ,"rate,frequency",2
率领,玄,6,10605,v,shuài lǐng,"to lead,to command,to head",1
率先,玄,6,12655,d,shuài xiān,"to take the lead,to show initiative",1
绿,纟,2,2608,a,lǜ,"green,(slang) (derived from 绿帽子) to cheat on (one's spouse or boyfriend or girlfriend)",1
绿茶,纟,2,15567,n,lǜ chá,"green tea,(slang) (of a girl) seemingly innocent and charming but actually calculating and manipulative",1
绿地,纟,7,18730,n,lǜ dì,green area (e.g. urban park or garden),1
绿灯,纟,7,15424,n,lǜ dēng,"green light (traffic signal),(fig.) permission to proceed",1
绿化,纟,6,22891,v,lǜ huà,"to make green with plants,to reforest,(Internet slang) Islamization",1
绿色,纟,2,2383,n,lǜ sè,green,1
孪生,子,7,27245,b,luán shēng,(adj.) twin,1
卵,卩,7,10123,n,luǎn,"egg,ovum,spawn,(coll.) testicles,(old) penis,(expletive) fucking",1
乱,乚,4,1206,d,luàn,"in confusion or disorder,in a confused state of mind,disorder,upheaval,riot,illicit sexual relations",1
乱七八糟,乚,7,8907,l,luàn qī bā zāo,(idiom) chaotic; in disorder; muddled,1
抡,扌,7,19852,v,lūn,"to swing (one's arms, a heavy object),to wave (a sword, one's fists),to fling (money)",2
伦理,亻,7,11350,n,lún lǐ,ethics,1
轮,车,6,1066,qv,lún,"wheel; disk; ring,steamship,to take turns; to rotate,classifier for big round objects: disk, or recurring events: round",1
轮船,车,6,17543,n,lún chuán,steamship; steamer; steamboat,1
轮换,车,7,24389,v,lún huàn,to rotate; to take turns,1
轮廓,车,7,11945,n,lún kuò,"an outline,silhouette",1
轮流,车,6,10320,v,lún liú,to alternate; to take turns,1
轮胎,车,7,4913,n,lún tāi,tire; pneumatic tire,1
轮椅,车,6,10262,n,lún yǐ,wheelchair,1
轮子,车,6,15530,n,lún zi,"wheel,(derog.) Falun Gong practitioner",1
论述,讠,7,20892,vn,lùn shù,"treatise,discourse,exposition",1
论坛,讠,6,7125,n,lùn tán,forum (for discussion),1
论文,讠,5,4207,n,lùn wén,"paper,treatise,thesis,to discuss a paper or thesis (old)",1
论证,讠,7,14292,v,lùn zhèng,"to prove a point,to expound on,to demonstrate or prove (through argument),proof",1
罗,罒,7,1653,b,Luó,surname Luo,2
啰唆,罒,7,128460,,luō suo,variant of 啰嗦,1
萝卜,艹,7,8242,n,luó bo,"radish (Raphanus sativus), esp. white radish 白萝卜",1
逻辑,辶,5,4974,n,luó ji,logic (loanword),1
螺丝,虫,7,16116,n,luó sī,screw,1
螺丝钉,虫,6,35456,n,luó sī dīng,screw,1
裸,衤,7,4679,g,luǒ,variant of 裸,3
裸露,衤,7,14013,v,luǒ lù,naked; bare; uncovered; exposed,1
络绎不绝,纟,7,34597,v,luò yì bù jué,(idiom) continuously; in an endless stream,1
落,艹,4,1435,v,là,"to leave out,to be missing,to leave behind or forget to bring,to lag or fall behind",3
落差,艹,7,29794,n,luò chā,"drop in elevation,(fig.) gap (in wages, expectations etc),disparity",1
落成,艹,7,20880,v,luò chéng,to complete a construction project,1
落地,艹,6,8886,v,luò dì,"to fall to the ground,to be set on the ground,to reach to the ground,to be born,(of a plane) to land",1
落后,艹,6,3824,a,luò hòu,"to fall behind,to lag (in technology etc),backward,to retrogress",1
落户,艹,7,33298,v,luò hù,"to settle,to set up home",1
落实,艹,7,16045,v,luò shí,"practical,workable,to implement,to carry out,to decide",1
落下,艹,7,13990,v,luò xià,"to fall,to drop,to land (of projectile)",1
妈,女,1,517,n,mā,"ma,mom,mother",1
妈妈,女,1,527,n,mā ma,"mama,mommy,mother",1
麻,麻,7,4988,n,má,"variant of 麻,hemp",3
麻痹,麻,7,8935,a,má bì,"paralysis,palsy,numbness,to benumb,(fig.) to lull,negligent,apathetic",1
麻烦,麻,4,1492,an,má fan,"trouble; inconvenience,inconvenient; troublesome; annoying,to bother sb; to put sb to trouble",1
麻将,麻,7,13433,n,má jiàng,mahjong,1
麻辣,麻,7,23271,z,má là,hot and numbing,1
麻木,麻,7,9568,a,má mù,"numb,insensitive,apathetic",1
麻醉,麻,7,6421,v,má zuì,"anesthesia,to anesthetize; (fig.) to corrupt (sb's mind); to enervate; to numb the mind (to escape from harsh reality)",1
马,马,3,605,n,Mǎ,"surname Ma,abbr. for Malaysia 马来西亚",2
马车,马,6,7719,n,mǎ chē,"cart,chariot,carriage,buggy",1
马后炮,马,7,44420,v,mǎ hòu pào,"lit. firing after the horse,fig. belated action,giving advice in hindsight",2
马虎,马,6,20190,a,mǎ hu,"careless,sloppy,negligent,skimpy",1
马力,马,7,12915,n,mǎ lì,horsepower,1
马路,马,3,5119,n,mǎ lù,"street,road",1
马上,马,3,847,d,mǎ shàng,"at once,right away,immediately,on horseback (i.e. by military force)",1
马桶,马,7,8584,n,mǎ tǒng,"chamber pot,wooden pan used as toilet,toilet bowl",1
马戏,马,7,29823,n,mǎ xì,circus,1
码,石,7,2833,q,mǎ,"weight,number,code,to pile,to stack,classifier for length or distance (yard), happenings etc",1
码头,石,6,4184,n,mǎ tóu,"dock,pier,wharf",1
骂,口,5,2622,v,mà,"to scold,to abuse,to curse",2
吗,口,1,83,y,má,(coll.) what?,3
嘛,口,6,614,y,má,"used in 吽,(Tw) (coll.) what?",2
埋,土,6,2776,v,mái,to bury,2
埋藏,土,7,14710,v,mái cáng,"to bury,to hide by burying,hidden",1
埋伏,土,7,11612,v,mái fú,"to ambush,to lie in wait for,to lie low,ambush",1
埋没,土,7,25479,v,mái mò,"to engulf,to bury,to overlook,to stifle,to neglect,to fall into oblivion",1
埋怨,土,7,10938,v,mán yuàn,"to complain,to grumble (about),to reproach,to blame",1
埋葬,土,7,12213,v,mái zàng,to bury,1
买,大,1,240,v,mǎi,"to buy,to purchase",1
买不起,大,7,14630,v,mǎi bu qǐ,"cannot afford,can't afford buying",1
买卖,大,5,3721,vn,mǎi mài,"buying and selling,business,business transactions",1
迈,辶,6,5964,v,mài,"to take a step,to stride",1
迈进,辶,7,14127,v,mài jìn,"to step in,to stride forward,to forge ahead",1
麦克风,麦,6,12308,n,mài kè fēng,microphone (loanword),1
卖,十,1,590,v,mài,"to sell,to betray,to spare no effort,to show off or flaunt",1
卖弄,十,7,22135,v,mài nong,"to show off,to make a display of",1
脉搏,⺼,7,11767,n,mài bó,pulse (both medical and figurative),1
脉络,⺼,7,38592,n,mài luò,"arteries and veins,network of blood vessels,vascular system (of a plant or animal)",1
蛮,虫,7,3353,d,mán,"barbarian,bullying,very,quite,rough,reckless",1
馒头,饣,4,16507,n,mán tou,"steamed roll,steamed bun,steamed bread",1
瞒,目,7,6855,v,mán,"to conceal from,to keep (sb) in the dark",1
满,氵,4,961,a,Mǎn,Manchu ethnic group,2
满怀,氵,7,11120,v,mǎn huái,"to have one's heart filled with,(to collide) full on,(of farm animals) heavy with young",1
满意,氵,3,1761,v,mǎn yì,"satisfied,pleased,to one's satisfaction",1
满足,氵,5,1555,v,mǎn zú,"to satisfy,to meet (the needs of),satisfied,content",1
慢,忄,2,1770,a,màn,slow,1
慢车,忄,6,52449,n,màn chē,"local bus or train,slow train with many stops",1
慢慢,忄,3,1664,d,màn màn,slowly,1
慢慢来,忄,7,14319,v,màn màn lái,"take your time,take it easy",1
慢性,忄,7,9266,b,màn xìng,"slow and patient,chronic (disease),slow to take effect (e.g. a slow poison)",1
漫,氵,7,7395,v,màn,"free,unrestrained,to inundate",1
漫画,氵,6,4509,n,màn huà,"caricature,cartoon,Japanese manga",1
漫游,氵,7,14554,vn,màn yóu,"to travel around,to roam,(mobile telephony) roaming",1
漫长,氵,6,5704,a,màn cháng,"very long,endless",1
蔓延,艹,7,7609,v,màn yán,"to extend,to spread",1
忙,忄,1,859,v,máng,"busy,hurriedly,to hurry,to rush",1
忙活,忄,7,15465,v,máng huo,"to be really busy,pressing business",1
忙碌,忄,5,6465,a,máng lù,busy; bustling,1
忙乱,忄,7,33607,a,máng luàn,rushed and muddled,1
盲目,目,7,6842,a,máng mù,"blind,blindly,ignorant,lacking understanding",1
盲人,目,6,11792,n,máng rén,blind person,1
茫茫,艹,7,13223,z,máng máng,"boundless,vast and obscure",1
茫然,艹,7,13636,a,máng rán,"blankly,vacantly,at a loss",1
猫,犭,1,1150,n,māo,"cat,(dialect) to hide oneself,(coll.) modem",1
毛,毛,3,1319,nr,Máo,surname Mao,2
毛笔,毛,5,37393,n,máo bǐ,writing brush,1
毛病,毛,5,4966,n,máo bìng,"fault,defect,shortcomings,ailment",1
毛巾,毛,4,6574,n,máo jīn,towel,1
毛衣,毛,4,5546,n,máo yī,(wool) sweater,1
矛盾,矛,5,2794,an,máo dùn,"contradiction,conflicting views,contradictory",1
矛头,矛,7,17616,n,máo tóu,"spearhead,barb,an attack or criticism",1
茅台,艹,7,12959,,Máo tái,"Maotai town in Renhuai county, Guizhou,Maotai liquor 茅台酒",1
茅台酒,艹,7,24755,,máo tái jiǔ,maotai (a Chinese liquor),1
茂密,艹,7,30360,a,mào mì,"dense (of plant growth),lush",1
茂盛,艹,7,28450,a,mào shèng,lush,1
冒,冂,6,2381,v,mào,old variant of 冒,3
冒充,冂,7,11187,v,mào chōng,"to feign,to pretend to be,to pass oneself off as",1
冒犯,冂,7,14861,v,mào fàn,to offend,1
冒昧,冂,7,24924,a,mào mèi,"bold,presumptuous,to take the liberty of",1
冒险,冂,6,3841,v,mào xiǎn,"to take risks,to take chances,foray,adventure",1
贸易,贝,6,4129,vn,mào yì,(commercial) trade,1
帽子,巾,4,3553,n,mào zi,"hat,cap,(fig.) label,bad name",1
没,氵,1,63,d,méi,(negative prefix for verbs) have not; not,2
没错,氵,4,5245,v,méi cuò,"that's right,sure!,rest assured!,that's good,can't go wrong",1
没法儿,氵,5,41071,l,méifǎr5,Can't,1
没关系,氵,1,3541,v,méi guān xi,it doesn't matter,1
没劲,氵,7,14775,a,méi jìn,"to have no strength,to feel weak,exhausted,feeling listless,boring,of no interest",1
没落,氵,7,21378,v,mò luò,"to decline,to wane",1
没什么,氵,1,1659,v,méi shén me,"nothing,it doesn't matter,it's nothing,never mind",1
没事儿,氵,1,11421,v,méi shì r,"to have spare time,free from work,it's not important,it's nothing,never mind",1
没收,氵,7,6509,v,mò shōu,"to confiscate,to seize",1
没说的,氵,7,54259,v,méi shuō de,"nothing to pick on,really good,nothing to discuss,settled matter,no problem",1
没完没了,氵,7,14136,v,méi wán méi liǎo,"without end,incessantly,on and on",1
没想到,氵,4,1000000,,méi xiǎng dào,didn't expect,1
没意思,氵,2,11321,a,méi yì si,"boring,of no interest",1
没用,氵,3,4841,v,méi yòng,useless,1
没有,氵,1,46,v,méi yǒu,"haven't,hasn't,doesn't exist,to not have,to not be",1
没辙,氵,7,26032,v,méi zhé,"at one's wit's end,unable to find a way out",1
没准儿,氵,7,55268,,méi zhǔn r,"erhua variant of 没准,not sure,maybe",1
枚,木,7,2591,q,Méi,surname Mei,2
玫瑰,王,5,3964,n,méi guī,"rugosa rose (shrub) (Rosa rugosa),rose flower",1
眉开眼笑,目,7,45283,,méi kāi yǎn xiào,"brows raised in delight, eyes laughing (idiom); beaming with joy,all smiles",1
眉毛,目,6,9070,n,méi mao,eyebrow,1
梅花,木,6,19695,n,méi huā,"plum blossom,clubs ♣ (a suit in card games),wintersweet (dialect)",1
媒介,女,7,15079,n,méi jiè,"intermediary,vehicle,vector,medium,media",1
媒体,女,5,1246,n,méi tǐ,"media, esp. news media",1
煤,火,6,8197,n,méi,coal,1
煤矿,火,7,9276,n,méi kuàng,"coal mine,coal seam",1
煤气,火,7,8803,n,méi qì,"coal gas,gas (fuel)",1
煤炭,火,7,16613,n,méi tàn,coal,1
每,母,2,340,r,měi,"each,every",1
每当,母,7,5867,p,měi dāng,whenever; every time,1
每逢,母,7,23571,v,měi féng,"every time,on each occasion,whenever",1
美,羊,4,343,b,Měi,"(bound form) the Americas (abbr. for 洲),(bound form) USA (abbr. for 美国)",2
美德,羊,7,12541,n,Měi Dé,USA and Germany,2
美观,羊,6,19793,a,měi guān,"pleasing to the eye,beautiful,artistic",1
美好,羊,4,1500,a,měi hǎo,"beautiful,fine",1
美化,羊,7,14334,v,měi huà,"to make more beautiful,to decorate,embellishment",1
美金,羊,4,5853,q,Měi jīn,"US dollar,USD",1
美景,羊,4,11213,n,měi jǐng,beautiful scenery,1
美丽,羊,4,1262,a,měi lì,beautiful,1
美满,羊,7,12203,a,měi mǎn,"happy,blissful",1
美妙,羊,7,5307,a,měi miào,"beautiful,wonderful,splendid",1
美女,羊,4,1982,n,měi nǚ,beautiful woman,1
美人,羊,7,6871,n,měi rén,"beauty,belle",1
美容,羊,7,6379,vn,měi róng,"to improve one's appearance (using cosmetics or cosmetic surgery),to make oneself more attractive,to beautify",1
美食,羊,4,6046,n,měi shí,"culinary delicacy,fine food,gourmet food",1
美术,羊,5,9170,n,měi shù,"art,fine arts,painting",1
美味,羊,5,4278,n,měi wèi,"delicious,delicious food,delicacy",1
美元,羊,3,516,q,Měi yuán,"American dollar,US dollar",1
美中不足,羊,7,33676,l,měi zhōng bù zú,everything is fine except for one small defect (idiom); the fly in the ointment,1
美滋滋,羊,7,54509,z,měi zī zī,very happy; elated,1
妹,女,1,2496,n,mèi,younger sister,1
妹妹,女,1,2093,n,mèi mei,"younger sister,young woman",1
魅力,鬼,5,2677,n,mèi lì,"charm,fascination,glamor,charisma",1
门,门,2,422,n,Mén,surname Men,2
门当户对,门,7,43397,v,mén dāng hù duì,"the families are well-matched in terms of social status (idiom),(of a prospective marriage partner) an appropriate match",1
门槛,门,7,11962,n,mén kǎn,"doorstep,sill,threshold,fig. knack or trick (esp. scheme to get sth cheaper)",1
门口,门,2,2762,s,mén kǒu,"doorway,gate",1
门铃,门,7,19371,n,mén líng,doorbell,1
门路,门,7,18772,n,mén lù,"way of doing sth,the right social connection",1
门票,门,2,5140,n,mén piào,"ticket (for theater, cinema etc)",1
门诊,门,5,9195,n,mén zhěn,outpatient service,1
闷,门,7,5112,v,mēn,"stuffy,shut indoors,to smother,to cover tightly",2
们,亻,1,457,k,men,"plural marker for pronouns, and nouns referring to individuals",1
萌发,艹,7,34285,v,méng fā,"to sprout,to shoot,to bud",1
萌芽,艹,7,20071,vn,méng yá,"to sprout (lit. or fig.),to bud,to germinate,germ,seed,bud",1
盟友,皿,7,13164,n,méng yǒu,ally,1
蒙,艹,7,2993,v,méng,"drizzle,mist",7
朦胧,月,7,14629,a,méng lóng,"(literary) (of moonlight) dim,(literary) murky; indistinct",1
猛,犭,7,3398,a,měng,"ferocious,fierce,violent,brave,suddenly,abrupt,(slang) awesome",1
猛烈,犭,7,9642,a,měng liè,fierce; violent; vigorous; intense,1
猛然,犭,7,20301,d,měng rán,"suddenly,abruptly",1
梦,木,4,913,n,mèng,"dream,(bound form) to dream",1
梦幻,木,7,6553,n,mèng huàn,"dream,illusion,reverie",1
梦见,木,4,7312,v,mèng jiàn,"to dream about (sth or sb),to see in a dream",1
梦想,木,4,1446,n,mèng xiǎng,"(fig.) to dream of,dream",1
眯,目,7,14561,v,mí,"to blind (as with dust),Taiwan pr. [mǐ]",2
弥补,弓,6,4555,v,mí bǔ,"to complement,to make up for a deficiency",1
弥漫,弓,7,11532,v,mí màn,"to pervade,to fill the air,diffuse,everywhere present,about to inundate (water),permeated by (smoke),filled with (dust)",2
迷,辶,5,2123,v,mí,"to bewilder,crazy about,fan,enthusiast,lost,confused",1
迷惑,辶,7,8585,v,mí huo,"to puzzle,to confuse,to baffle",1
迷惑不解,辶,7,49559,v,mí huò bù jiě,to feel puzzled,1
迷恋,辶,7,9387,v,mí liàn,"to be infatuated with,to be enchanted by,to be passionate about",1
迷路,辶,5,8871,v,mí lù,"to lose the way,lost,labyrinth,labyrinthus vestibularis (of the inner ear)",1
迷人,辶,6,4430,a,mí rén,"fascinating,enchanting,charming,tempting",1
迷失,辶,7,7005,v,mí shī,"to lose (one's bearings),to get lost",1
迷信,辶,7,9691,v,mí xìn,"superstition,to have a superstitious belief (in sth)",1
谜,讠,7,6848,n,mèi,"see 谜儿, riddle",2
谜底,讠,7,19958,n,mí dǐ,answer to a riddle,1
谜团,讠,7,19898,n,mí tuán,"riddle,enigma,unpredictable situation,elusive matters",1
谜语,讠,7,25753,n,mí yǔ,"riddle,conundrum",1
米,米,3,663,n,Mǐ,surname Mi,2
米饭,米,1,10194,n,mǐ fàn,(cooked) rice,1
秘方,禾,7,13705,n,mì fāng,secret recipe,1
秘诀,禾,7,10144,n,mì jué,"secret know-how,key (to longevity),secret (of happiness),recipe (for success)",1
秘密,禾,5,1577,n,mì mì,"secret; private; confidential; clandestine,a secret",1
秘书,禾,5,4599,n,mì shū,secretary,1
秘书长,禾,6,11446,n,mì shū zhǎng,secretary-general,1
密,宀,6,3591,a,Mì,"surname Mi,name of an ancient state",2
密不可分,宀,7,27738,v,mì bù kě fēn,"inextricably linked (idiom),inseparable",1
密度,宀,6,8534,n,mì dù,"density,thickness",1
密封,宀,7,9769,vn,mì fēng,to seal up,1
密集,宀,6,11504,a,mì jí,"concentrated,crowded together,intensive,compressed",1
密码,宀,4,3133,n,mì mǎ,"cipher; secret code,password; PIN",1
密切,宀,5,5024,ad,mì qiè,"close,familiar,intimate,closely (related),to foster close ties,to pay close attention",1
蜜,虫,7,4961,n,mì,honey,1
蜜蜂,虫,6,8143,n,mì fēng,"bee,honeybee",1
蜜月,虫,7,12555,n,mì yuè,honeymoon,1
棉,木,6,5317,g,mián,"generic term for cotton or kapok,cotton,padded or quilted with cotton",1
棉花,木,7,6129,n,mián hua,cotton,1
免,儿,6,3929,v,miǎn,"to excuse sb,to exempt,to remove or dismiss from office,to avoid,to avert,to escape,to be prohibited",2
免不了,儿,7,20777,v,miǎn bù liǎo,"unavoidable,can't be avoided",1
免除,儿,7,14058,v,miǎn chú,"to prevent,to avoid,to excuse,to exempt,to relieve,(of a debt) to remit",1
免得,儿,7,9217,v,miǎn de,so as not to; so as to avoid,1
免费,儿,4,1416,v,miǎn fèi,free (of charge),1
免疫,儿,6,4704,vn,miǎn yì,immunity (to disease),1
免职,儿,7,25860,v,miǎn zhí,"to relieve sb of his post,to sack,to demote,dismissal,sacking",1
勉励,力,7,37429,v,miǎn lì,to encourage,1
勉强,力,6,6178,ad,miǎn qiǎng,"to do with difficulty,to force sb to do sth,reluctant,barely enough",1
